external_gene_name,NIH_accession,NIH_description,GO terms
,,,
ND1,ND1,NADH dehydrogenase subunit 1,
ND2,ND2,NADH dehydrogenase subunit 2,
COX1,COX1,cytochrome c oxidase subunit I,response to cadmium ion
COX2,COX2,cytochrome c oxidase subunit II,
ATP8,ATP8,ATP synthase F0 subunit 8,
ATP6,ATP6,ATP synthase F0 subunit 6,
COX3,COX3,cytochrome c oxidase subunit III,
ND3,ND3,NADH dehydrogenase subunit 3,
ND4L,ND4L,NADH dehydrogenase subunit 4L,
ND4,ND4,NADH dehydrogenase subunit 4,
ND5,ND5,NADH dehydrogenase subunit 5,
ND6,ND6,NADH dehydrogenase subunit 6,
CYTB,CYTB,cytochrome b,
PTGFR,,,
acot11b,acot11b,acyl-CoA thioesterase 11b,
FPGT,fpgt,fucose-1-phosphate guanylyltransferase,
tnni3k,tnni3k,TNNI3 interacting kinase,ATP binding
ERICH3,,,
elovl8b,elovl8b,ELOVL fatty acid elongase 8b,
glis1b,LOC111583907,zinc finger protein GLIS1,metal ion binding
DIO1,dio1,iodothyronine deiodinase 1,oxidoreductase activity
ssbp3b,ssbp3b,single stranded DNA binding protein 3b,
lhx8b,LOC111581922,LIM/homeobox protein Lhx8,
slc44a5b,slc44a5b,solute carrier family 44 member 5b,
vmo1b,LOC111576925,vitelline membrane outer layer protein 1 homolog,
dmbx1b,LOC111585833,diencephalon/mesencephalon homeobox protein 1-A-like,
TIMM44,timm44,translocase of inner mitochondrial membrane 44 homolog (yeast),membrane
BTF3L4,btf3l4,basic transcription factor 3-like 4,
zfyve9b,,,metal ion binding
elovl1b,elovl1b,ELOVL fatty acid elongase 1b,kidney development
MOB3C,mob3c,MOB kinase activator 3C,
MKNK1,mknk1,MAPK interacting serine/threonine kinase 1,
gpia,LOC111578303,glucose-6-phosphate isomerase-like,
DMAP1,dmap1,DNA methyltransferase 1 associated protein 1,
st6galnac5b,st6galnac5b,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5b",membrane
HNRNPM,hnrnpm,heterogeneous nuclear ribonucleoprotein M,nucleic acid binding
rnf220b,,,
FAAH,,,hydrolase activity
lsm14aa,lsm14aa,LSM14A mRNA processing body assembly factor a,
guk1b,guk1b,guanylate kinase 1b,
si:dkey-219c3.2,LOC111578293,transcription initiation factor TFIID subunit 4-like,
LONP1,,,membrane
KCTD15,LOC111578294,BTB/POZ domain-containing protein kctd15-like,protein homooligomerization
ZNRF1,znrf1,zinc and ring finger 1,
GINS3,gins3,GINS complex subunit 3,
ALKAL1,alkal1,ALK and LTK ligand 1,extracellular region
si:dkey-30h22.11,mindy4,MINDY lysine 48 deubiquitinase 4,hydrolase activity
NEXN,nexn,nexilin (F actin binding protein),
TPH2,tph2,tryptophan hydroxylase 2 (tryptophan 5-monooxygenase),
TAB3,tab3,TGF-beta activated kinase 1 (MAP3K7) binding protein 3,
TMEM47,tmem47,transmembrane protein 47,
FAAH,LOC111585834,vitamin D3 hydroxylase-associated protein-like,
FAAH,LOC129350428,vitamin D3 hydroxylase-associated protein-like,
TBC1D15,,,
abhd17ab,abhd17ab,"abhydrolase domain containing 17A, depalmitoylase b",
zgc:77486,plin3,perilipin 3,
sema6bb,sema6bb,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6Bb",
NUP160,nup160,nucleoporin 160,
rorca,rorca,RAR-related orphan receptor C a,
sh3gl1b,sh3gl1b,SH3-domain GRB2-like 1b,
MPND,mpnd,MPN domain containing,
ARMH1,,,
MUTYH,mutyh,mutY DNA glycosylase,metal ion binding
frs2b,LOC111578300,fibroblast growth factor receptor substrate 2,
KIAA1549L,LOC111578298,receptor-type tyrosine-protein phosphatase beta-like,
zgc:112160,LOC111567950,chymotrypsin B-like,extracellular region
,LOC118469504,uncharacterized LOC118469504,
MEGF11,LOC111567996,multiple epidermal growth factor-like domains protein 11,
RAB11A,rab11a,"RAB11a, member RAS oncogene family",
si:ch211-112g6.4,,,
LNPK,,,
TMEM14C,,,
dapk2a,dapk2a,death-associated protein kinase 2a,
HERC1,,,
,LOC111568736,tetraspanin-18-like,
cd82a,LOC111578656,CD82 antigen-like,
si:ch211-194m7.5,LOC111585756,olfactomedin-4-like,
emilin1b,LOC111571013,EMILIN-1-like,
kcng4b,LOC111581437,potassium voltage-gated channel subfamily G member 4-like,
NDRG4,ndrg4,NDRG family member 4,cytosol
VPS13C,,,
hsd17b12b,hsd17b12b,hydroxysteroid (17-beta) dehydrogenase 12b,oxidoreductase activity
,galr1b,galanin receptor 1b,
GPN1,gpn1,GPN-loop GTPase 1,
,stmn4l,"stathmin-like 4, like",
il17a/f1,il17a/f1,interleukin 17a/f1,
KMT5B,,,
POLE3,,,
rpl12,rpl12,ribosomal protein L12,
si:ch211-194m7.5,LOC111585757,olfactomedin-4-like,
si:ch211-194m7.4,LOC111585759,olfactomedin-like,
si:ch211-194m7.4,,,
